1,Level 16
2,Level 32
3,Final
4,Level 16
5,Level 36
6,Final
7,Level 16
8,Level 36
9,Final
10,Level 7
11,Level 10
12,Final
13,Level 7
14,Level 10
15,Final
16,Level 18
17,Level 36
18,Final
19,Level 20
20,Final
21,Level 20
22,Final
23,Level 22
24,Final
25,Thunder Stone
26,Final
27,Level 22
28,Final
29,Level 16
30,Moon Stone
31,Final
32,Level 16
33,Moon Stone
34,Final
35,Moon Stone
36,Final
37,Fire Stone
38,Final
39,Moon Stone
40,Final
41,Level 22
42,Final
43,Level 21
44,Leaf Stone
45,Final
46,Level 24
47,Final
48,Level 31
49,Final
50,Level 26
51,Final
52,Level 26
53,Final
54,Level 33
55,Final
56,Level 28
57,Final
58,Fire Stone
59,Final
60,Level 25
61,Water Stone
62,Final
63,Level 16
64,Trade
65,Final
66,Level 28
67,Trade
68,Final
69,Level 21
70,Leaf Stone
71,Final
72,Level 30
73,Final
74,Level 25
75,Trade
76,Final
77,Level 40
78,Final
79,Level 37
80,Final
81,Level 30
82,Final
83,Final
84,Level 31
85,Final
86,Level 34
87,Final
88,Level 38
89,Final
90,Water Stone
91,Final
92,Level 25
93,Trade
94,Final
95,Final
96,Level 26
97,Final
98,Level 28
99,Final
100,Level 30
101,Final
102,Leaf Stone
103,Final
104,Level 28
105,Final
106,Final
107,Final
108,Final
109,Level 35
110,Final
111,Level 42
112,Final
113,Final
114,Final
115,Final
116,Level 32
117,Final
118,Level 33
119,Final
120,Water Stone
121,Final
122,Final
123,Final
124,Final
125,Final
126,Final
127,Final
128,Final
129,Level 20
130,Final
131,Final
132,Final
133,Water Stone
133,Thunder Stone
133,Fire Stone
134,Final
135,Final
136,Final
137,Final
138,Level 40
139,Final
140,Level 40
141,Final
142,Final
143,Final
144,Final
145,Final
146,Final
147,Level 30
148,Level 55
149,Final
150,Final
151,Final
