82,Level up in a special magnetic field
108,Level up with Rollout
112,Trade with Protector
114,Level up with Ancient Power
125,Trade with Electirizer
126,Trade with Magmarizer
133,Level up near Moss Rock
133,Level up near Ice Rock
176,Shiny Stone
190,Level up with Double Hit
193,Level up with Ancient Power
198,Dusk Stone
200,Dusk Stone
207,Level up with Razor Fang (Night)
215,Level up with Razor Claw (Night)
221,Level up with Ancient Power
233,Trade with Dubious Disc
281,Dawn Stone (male)
299,Level up in a special magnetic field
315,Shiny Stone
356,Trade with Reaper Cloth
361,Dawn Stone (female)
387,Level 18
388,Level 32
389,Final
390,Level 14
391,Level 36
392,Final
393,Level 16
394,Level 36
395,Final
396,Level 14
397,Level 34
398,Final
399,Level 15
400,Final
401,Level 10
402,Final
403,Level 15
404,Level 30
405,Final
406,Friendship (Day)
407,Final
408,Level 30
409,Final
410,Level 30
411,Final
412,Level 20 (female, Plant Cloak)
412,Level 20 (female, Sandy Cloak)
412,Level 20 (female, Trash Cloak)
412,Level 20 (male)
413,Final
414,Final
415,Level 21 (female)
416,Final
417,Final
418,Level 26
419,Final
420,Level 25
421,Final
422,Level 30
423,Final
424,Final
425,Level 28
426,Final
427,Friendship
428,Final
429,Final
430,Final
431,Level 38
432,Final
433,Friendship (Night)
434,Level 34
435,Final
436,Level 33
437,Final
438,Level up with Mimic
439,Level up with Mimic
440,Level up with Oval Stone
441,Final
442,Final
443,Level 24
444,Level 48
445,Final
446,Friendship
447,Friendship (day)
448,Final
449,Level 34
450,Final
451,Level 40
452,Final
453,Level 37
454,Final
455,Final
456,Level 31
457,Final
458,Level up with Remoraid in party
459,Level 40
460,Final
461,Final
462,Final
463,Final
464,Final
465,Final
466,Final
467,Final
468,Final
469,Final
470,Final
471,Final
472,Final
473,Final
474,Final
475,Final
476,Final
477,Final
478,Final
479,Final
480,Final
481,Final
482,Final
483,Final
484,Final
485,Final
486,Final
487,Final
488,Final
489,Does not evolve
490,Final
491,Final
492,Final
493,Final
