494,Final
495,Level 17
496,Level 36
497,Final
498,Level 17
499,Level 36
500,Final
501,Level 17
502,Level 36
503,Final
504,Level 20
505,Final
506,Level 16
507,Level 32
508,Final
509,Level 20
510,Final
511,Leaf Stone
512,Final
513,Fire Stone
514,Final
515,Water Stone
516,Final
517,Moon Stone
518,Final
519,Level 21
520,Level 32
521,Final
522,Level 27
523,Final
524,Level 25
525,Trade
526,Final
527,Friendship
528,Final
529,Level 31
530,Final
531,Final
532,Level 25
533,Trade
534,Final
535,Level 25
536,Level 36
537,Final
538,Final
539,Final
540,Level 20
541,Friendship
542,Final
543,Level 22
544,Level 30
545,Final
546,Sun Stone
547,Final
548,Sun Stone
549,Final
550,Final
551,Level 29
552,Level 40
553,Final
554,Level 35
555,Final
556,Final
557,Level 34
558,Final
559,Level 39
560,Final
561,Final
562,Level 34
563,Final
564,Level 37
565,Final
566,Level 37
567,Final
568,Level 36
569,Final
570,Level 30
571,Final
572,Shiny Stone
573,Final
574,Level 32
575,Level 41
576,Final
577,Level 32
578,Level 41
579,Final
580,Level 35
581,Final
582,Level 35
583,Level 47
584,Final
585,Level 34
586,Final
587,Final
588,Trade for Shelmet
589,Final
590,Level 39
591,Final
592,Level 40
593,Final
594,Final
595,Level 36
596,Final
597,Level 40
598,Final
599,Level 38
600,Level 49
601,Final
602,Level 39
603,Thunder Stone
604,Final
605,Level 42
606,Final
607,Level 41
608,Dusk Stone
609,Final
610,Level 38
611,Level 48
612,Final
613,Level 37
614,Final
615,Final
616,Trade for Karrablast
617,Final
618,Final
619,Level 50
620,Final
621,Final
622,Level 43
623,Final
624,Level 52
625,Final
626,Final
627,Level 54
628,Final
629,Level 54
630,Final
631,Final
632,Final
633,Level 50
634,Level 64
635,Final
636,Level 59
637,Final
638,Final
639,Final
640,Final
641,Final
642,Final
643,Final
644,Final
645,Final
646,Final
647,Final
648,Final
649,Final
