252,Level 16
253,Level 36
254,Final
255,Level 16
256,Level 36
257,Final
258,Level 16
259,Level 36
260,Final
261,Level 18
262,Final
263,Level 20
264,Final
265,Level 7 (Personality value mod 10 < 5)
265,Level 7 (Personality value mod 10 >= 5)
266,Level 10
267,Final
268,Level 10
269,Final
270,Level 14
271,Water Stone
272,Final
273,Level 14
274,Leaf Stone
275,Final
276,Level 22
277,Final
278,Level 25
279,Final
280,Level 20
281,Level 30
282,Final
283,Level 22
284,Final
285,Level 23
286,Final
287,Level 18
288,Level 36
289,Final
290,Level 20
290,Appears if there is a Poke Ball in the bag and an empty space in the party
291,Final
292,Final
293,Level 20
294,Level 40
295,Final
296,Level 24
297,Final
298,Friendship
299,Final
300,Moon Stone
301,Final
302,Final
303,Final
304,Level 32
305,Level 42
306,Final
307,Level 37
308,Final
309,Level 26
310,Final
311,Final
312,Final
313,Final
314,Final
315,Final
316,Level 26
317,Final
318,Level 30
319,Final
320,Level 40
321,Final
322,Level 33
323,Final
324,Final
325,Level 32
326,Final
327,Final
328,Level 35
329,Level 45
330,Final
331,Level 32
332,Final
333,Level 35
334,Final
335,Final
336,Final
337,Final
338,Final
339,Level 30
340,Final
341,Level 30
342,Final
343,Level 36
344,Final
345,Level 40
346,Final
347,Level 40
348,Final
349,Level up with maximum Beauty<br>Trade holding Prism Scale
350,Final
351,Final
352,Final
353,Level 37
354,Final
355,Level 37
356,Final
357,Final
358,Final
359,Final
360,Level 15
361,Level 42
362,Final
363,Level 32
364,Level 44
365,Final
366,Trade holding Deep Sea Tooth
366,Trade holding Deep Sea Scale
367,Final
368,Final
369,Final
370,Final
371,Level 30
372,Level 50
373,Final
374,Level 20
375,Level 45
376,Final
377,Final
378,Final
379,Final
380,Final
381,Final
382,Final
383,Final
384,Final
385,Final
386,Final
