133,Level up with 2 levels of Affection and knowing a Fairy-type move
650,Level 16
651,Level 36
652,Final
653,Level 16
654,Level 36
655,Final
656,Level 16
657,Level 36
658,Final
659,Level 20
660,Final
661,Level 17
662,Level 35
663,Final
664,Level 9
665,Level 12
666,Final
667,Level 35
668,Final
669,Level 19
670,Shiny Stone
671,Final
672,Level 32
673,Final
674,Level 32 with Dark-type in party
675,Final
676,Final
677,Level 25
678,Final
679,Level 35
680,Dusk Stone
681,Final
682,Trade holding Sachet
683,Final
684,Trade holding Whipped Dream
685,Final
686,Level 30 with 3DS held upside down
687,Final
688,Level 39
689,Final
690,Level 48
691,Final
692,Level 37
693,Final
694,Sun Stone
695,Final
696,Level 39 (day)
697,Final
698,Level 39 (night)
699,Final
700,Final
701,Final
702,Final
703,Final
704,Level 40
705,Level 50 in rain or fog
706,Final
707,Final
708,Trade
709,Final
710,Trade
711,Final
712,Level 37
713,Final
714,Level 48
715,Final
716,Final
717,Final
718,Final
719,Final
720,Final
721,Final
