42,Friendship
44,Sun Stone
61,Trade with King's Rock
79,Trade with King's Rock
95,Trade with Metal Coat
113,Friendship
117,Trade with Dragon Scale
123,Trade with Metal Coat
133,Friendship (Day)
133,Friendship (Night)
137,Trade with Up-Grade
152,Level 16
153,Level 32
154,Final
155,Level 14
156,Level 36
157,Final
158,Level 18
159,Level 30
160,Final
161,Level 15
162,Final
163,Level 20
164,Final
165,Level 18
166,Final
167,Level 22
168,Final
169,Final
170,Level 27
171,Final
172,Friendship
173,Friendship
174,Friendship
175,Friendship
176,Final
177,Level 25
178,Final
179,Level 15
180,Level 30
181,Final
182,Final
183,Level 18
184,Final
185,Final
186,Final
187,Level 18
188,Level 27
189,Final
190,Final
191,Sun Stone
192,Final
193,Final
194,Level 20
195,Final
196,Final
197,Final
198,Final
199,Final
200,Final
201,Final
202,Final
203,Final
204,Level 31
205,Final
206,Final
207,Final
208,Final
209,Level 23
210,Final
211,Final
212,Final
213,Final
214,Final
215,Final
216,Level 30
217,Final
218,Level 38
219,Final
220,Level 33
221,Final
222,Final
223,Level 25
224,Final
225,Final
226,Final
227,Final
228,Level 24
229,Final
230,Final
231,Level 25
232,Final
233,Final
234,Final
235,Final
236,Level 20 (Attack > Defense)
236,Level 20 (Attack < Defense)
236,Level 20 (Attack = Defense)
237,Final
238,Level 30
239,Level 30
240,Level 30
241,Final
242,Final
243,Final
244,Final
245,Final
246,Level 30
247,Level 55
248,Final
249,Final
250,Final
251,Final
